d1_trainstation_01 at: -9367 x, -2461 y, 80 z
d1_trainstation_01 at: -8573 x, -2161 y, 0 z
d1_trainstation_01 at: -7832 x, -1933 y, 18 z
d1_trainstation_01 at: -6342 x, -1738 y, 3 z
d1_trainstation_01 at: -5145 x, -1828 y, 0 z
d1_trainstation_01 at: -4022 x, -2041 y, 32 z
d1_trainstation_01 at: -4960 x, -1024 y, 32 z
d1_trainstation_01 at: -4213 x, -728 y, 32 z
d1_trainstation_01 at: -3127 x, 133 y, 99 z
d1_trainstation_02 at: -3990 x, -801 y, 300 z
d1_trainstation_02 at: -3774 x, -1597 y, 213 z
d1_trainstation_02 at: -3786 x, -2332 y, 235 z
d1_trainstation_02 at: -3309 x, -2023 y, 158 z
d1_trainstation_02 at: -3024 x, -2704 y, 130 z
d1_trainstation_02 at: -3002 x, -4505 y, 97 z
d1_trainstation_02 at: -5250 x, -3833 y, 426 z
d1_trainstation_02 at: -4077 x, -3903 y, 410 z
d1_trainstation_03 at: -5228 x, -4795 y, 640 z
d1_trainstation_04 at: -3146 x, -3676 y, 447 z
d1_trainstation_04 at: -3760 x, -3468 y, 646 z
d1_trainstation_04 at: -4650 x, -3550 y, 812 z
d1_trainstation_04 at: -5649 x, -3668 y, 1007 z
d1_trainstation_04 at: -6829 x, -4300 y, 939 z
d1_trainstation_04 at: -7648 x, -4915 y, 733 z
d1_trainstation_04 at: -8958 x, -5250 y, 658 z
d1_trainstation_05 at: -8668 x, -2120 y, 464 z
d1_trainstation_05 at: -9439 x, -1922 y, 423 z
d1_trainstation_05 at: -10209 x, -2056 y, 420 z
d1_trainstation_05 at: -9656 x, -3310 y, 410 z
d1_trainstation_05 at: -10574 x, -3356 y, 390 z
d1_trainstation_06 at: -7998 x, -836 y, 132 z
